p_id,p_name,p_categories,p_id_shop,p_shop_name,p_brand,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
83412126,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML,Bình giữ nhiệt,38510.0,JoyMall LocknLock Chính Hãng,LocknLock,659.0,702,528000,269000,49
53789448,"Bộ cây lau nhà tự vắt thông minh, chổi lau nhà 360 độ, lau sạch khô nhanh - Parroti Pro PR01",Nhà Cửa - Đời Sống,96639.0,Parroti Store,Parroti,974.0,12844,799000,429000,46
13334313,Bộ 6 chén (bát) cơm sứ phong cách Nhật Bản hoa văn sắc xưa giả cổ,Nhà Cửa - Đời Sống,3340.0,Công ty TNHH TM Minh Gia Lợi,OEM,1372.0,938,209000,209000,0
99868980,Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 540ml,Bình giữ nhiệt,1.0,Tiki Trading,LocknLock,593.0,10359,473000,235000,50
115092053,"Bộ ga giường poly cotton LIDACO drap giường đủ size nệm 1m2, 1m4, 1m6, 1m8 (Tặng 01 vỏ gối ôm)",Bộ ga,43482.0,Lidaco Official Store,LIDACO,529.0,2338,106000,89000,16
201040328,Bình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml,Bình giữ nhiệt,1.0,Tiki Trading,LocknLock,82.0,808,715000,347000,51
73124602,Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180SLV (800ML),Nhà Cửa - Đời Sống,38510.0,JoyMall LocknLock Chính Hãng,LocknLock,775.0,1437,677000,349000,48
72652203,Hộp đựng thức ăn cho bé Lock&Lock có vạch chia 230ml x 3 hộp LLG508S3,Nhà Cửa - Đời Sống,1.0,Tiki Trading,LocknLock,785.0,11686,350000,170000,51
21441057,Chảo Chống Dính Đá Sunhouse SBD18,Nhà Cửa - Đời Sống,182530.0,GIADUNG TẤN PHÁT,Sunhouse,1280.0,3,182900,182900,0
48045630,5 Viên Pin Smartkey - Cmos Panasonic CR2032 - Hàng Chính Hãng,Nhà Cửa - Đời Sống,71726.0,Thegioipin88,Panasonic,1070.0,2806,95000,95000,0
54484578,Đèn Bàn Học LED USB Di Động Cao Cấp Có Thể Gập Hai Chỗ – 03 Chế Độ Ánh Sáng Vàng Bảo Vệ Mắt Chống Cận eLights,Nhà Cửa - Đời Sống,97355.0,Future Store,eLights,965.0,6134,199000,189000,5
70656791,giấy ăn gấu trúc Ycool khăn giấy tre 1 thùng 30 gói 300 tờ siêu dai mềm mại,Phụ kiện nhà bếp khác,131980.0,Giấy ycool,ycool,810.0,12778,125000,125000,0
173854188,Ổ cắm xoay gấp gọn Điện Quang ĐQ ESK RT,Ổ cắm,17490.0,Điện Quang Official Store,Điện Quang,273.0,549,35800,25000,30
3480627,Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông Lau,Nhà Cửa - Đời Sống,1.0,Tiki Trading,LocknLock,1616.0,6621,924000,475000,49
58804363,Dụng cụ băm rau củ quả Lock&Lock Quick Chopper,Dụng cụ xay,1.0,Tiki Trading,LocknLock,887.0,13393,171000,81000,53
197141676,"Bộ ga và Chăn chần bông Ai By Akemi Lovesome, gồm 5 món (King/Queen)",Bộ ga,168565.0,Akemi Official Stores,Akemi,119.0,6,1290000,1176000,9
141298313,Hạt giống mướp hương Việt Nam siêu thơm - Làm vườn cực dễ cùng anh kỹ sư,Hạt giống,42056.0,KoyShop,OEM,411.0,1911,6000,6000,0
174619828,"Thùng rác treo tủ bếp có nắp đậy 7L - 9L M&L 546 - Sang trọng, thông minh và tiện ích",Thùng rác,250596.0,ML Official Store,M&L,266.0,452,252000,189000,25
73125530,Hộp cơm thủy tinh kèm muỗng đũa LocknLock LLG991CL 930ml,Hộp đựng thực phẩm,38510.0,JoyMall LocknLock Chính Hãng,LocknLock,775.0,390,362000,199000,45
71890908,Bộ lau nhà xoay 360 độ Sunhouse KS-CL330S,Dụng cụ lau nhà khác,1.0,Tiki Trading,Sunhouse,800.0,1684,412000,259000,37
198417196,Giường Frappuccino PVC_ K(1.8m),Sofa/ salon và phụ kiện,203362.0,Jang In,Jang In,103.0,0,17300000,16089000,7
118858137,Nạo Gọt Rau Củ Quả  Inox 304 Hàng Cao Cấp - Mua 1 Lần Dùng Mãi Mãi,Dụng cụ Cắt-Gọt-Bào,151652.0,Jodily StarHome HP,Jodily StarHome,503.0,1479,70000,70000,0
104681179,Bông lau thay thế cho Cây lau nhà biến tốc MyJae,Khăn,190794.0,MyJae Flagship Store,MyJae,564.0,566,119000,119000,0
53583472,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa)",Nhà Cửa - Đời Sống,1.0,Tiki Trading,LocknLock,981.0,9861,1667000,790000,53
202805930,Bộ Hộp Cơm Giữ Nhiệt Hút Chân Không  Lock&Lock NVY-4 - LHC8052S01,Hộp đựng thực phẩm,1.0,Tiki Trading,LocknLock,70.0,259,1490000,735000,51
198417133,Sofa 3 chỗ Lewis Jang In 1603810001-02,Sofa/ salon và phụ kiện,203362.0,Jang In,Jang In,103.0,0,38500000,32725000,15
133898113,Giường Pallet / Giường Ngủ Pallet Gỗ Thông Gấp Gọn / Giường Gỗ Thông nhập khẩu Mới 100% ,Nội thất phòng ngủ khác,300697.0,Nội thất Asaka 139 Phổ Quang,OEM,437.0,0,580000,580000,0
107961500,Ly Nhựa 2 Lớp LocknLock Double Wall Cold Cup Cherry Blossom 750ml HAP509,Ly,1.0,Tiki Trading,LocknLock,561.0,5071,217000,108000,50
42465518,"Cây thông Noel 1,5m tặng kèm 1 bộ phụ kiên đầy đủ cao cấp",Trang trí nhà cửa khác,267549.0,SHOPNHIMCUNG,OEM,1139.0,5,287000,287000,0
144405717,Xông trầm lớn màu giả cổ phi 120,Lư trầm,242795.0,Sản phẩm Công Giáo Tâm Đức,OEM,401.0,1,3425000,3425000,0
104991715,"Bộ 2 chảo vân đá chống dính Tefal Natura dùng cho bếp ga và hồng ngoại (20cm, 24cm) - Hàng chính hãng",Chảo các loại,121435.0,Tefal Official Store - Chính hãng,Tefal,573.0,3797,929000,499000,46
1657931,Vợt Muỗi Sunhouse SHE-E200 - Vàng,Nhà Cửa - Đời Sống,1.0,Tiki Trading,Sunhouse,1755.0,8816,119000,74000,38
892121,Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA,Pin tiểu,1242.0,"Vo Hoang Trading Co.,Ltd",Energizer,1863.0,2033,136800,136800,0
84566545,Ổ cắm điện đa năng kết hợp ổ cắm USB Nakagami chất lượng cao công nghệ Nhật Bản - Màu ngẫu nhiên,Ổ cắm,118406.0,Vạn Tín Store,Nakagami,652.0,3805,155000,155000,0
200623571,"Dụng cụ thái thịt đa năng Foodcom, máy chặt thịt gà, thái rau củ quả thông minh tiện dụng tiết kiệm thời gian ",Dao các loại,40528.0,FOODCOM,foodcom,85.0,21,1498000,899000,40
122692850,"Cây chà sàn thông minh cao cấp, chổi chà sàn đa năng 2 trong 1, cọ sàn và gạt nước – Parroti Easy ES02",Bàn chải,96639.0,Parroti Store,Parroti,477.0,3841,199000,146700,26
186627908,"Ghế Gác Chân Công Thái Học Ergonomic Footrest, Ghế Kê Chân Ghế Gác Chân Văn Phòng",Nội thất phòng học,285488.0,Office Chill,OEM,201.0,1095,280000,189000,33
187636657,"Keo Dán Giày Đa Năng Dán Mọi Loại Giày, Chống Thấm",Khác,151652.0,Jodily StarHome HP,Jodily StarHome,195.0,1472,45000,30000,33
71111080,"Kệ Để Giày Dép Inox 5 Tầng Chính Hãng Amalife, Giá Để Giày Inox 5 Tầng - Chọn Màu",Kệ & Tủ,55591.0,miDoctor,Amalife,747.0,892,169000,125000,26
