p_id,p_name,p_id_shop,p_shop_name,p_brand,p_categories,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
83412126,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML,38510.0,JoyMall LocknLock Chính Hãng,LocknLock,Bình giữ nhiệt,659.0,702,528000,269000,49
53789448,"Bộ cây lau nhà tự vắt thông minh, chổi lau nhà 360 độ, lau sạch khô nhanh - Parroti Pro PR01",96639.0,Parroti Store,Parroti,Nhà Cửa - Đời Sống,974.0,12844,799000,429000,46
212830295,( hàng sẵn )squyshi to bự,318926.0,Squishy,OEM,Root,8.0,0,59000,59000,0
13334313,Bộ 6 chén (bát) cơm sứ phong cách Nhật Bản hoa văn sắc xưa giả cổ,3340.0,Công ty TNHH TM Minh Gia Lợi,OEM,Nhà Cửa - Đời Sống,1372.0,938,209000,209000,0
99868980,Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 540ml,1.0,Tiki Trading,LocknLock,Bình giữ nhiệt,593.0,10359,473000,235000,50
115092053,"Bộ ga giường poly cotton LIDACO drap giường đủ size nệm 1m2, 1m4, 1m6, 1m8 (Tặng 01 vỏ gối ôm)",43482.0,Lidaco Official Store,LIDACO,"Bộ ga, ra, drap",529.0,2338,106000,89000,16
201040328,Bình giữ nhiệt LocknLock Riga Tumbler Vietnam Edition LHC4160 897ml,1.0,Tiki Trading,LocknLock,Bình giữ nhiệt,82.0,808,715000,347000,51
73124602,Bình Giữ Nhiệt Bằng Thép Không Gỉ Lock&Lock Vacuum Bottle LHC6180SLV (800ML),38510.0,JoyMall LocknLock Chính Hãng,LocknLock,Nhà Cửa - Đời Sống,775.0,1437,677000,349000,48
72652203,Hộp đựng thức ăn cho bé Lock&Lock có vạch chia 230ml x 3 hộp LLG508S3,1.0,Tiki Trading,LocknLock,Nhà Cửa - Đời Sống,785.0,11686,350000,170000,51
21441057,Chảo Chống Dính Đá Sunhouse SBD18,182530.0,GIADUNG TẤN PHÁT,Sunhouse,Nhà Cửa - Đời Sống,1280.0,3,182900,182900,0
118966833,Móc Treo Cây Lau Nhà Dán Tường Đa Năng  Chịu Lực Tốt - Parroti Keeper KP02,96639.0,Parroti Store,Parroti,"Giá, móc, cây treo",502.0,4584,42000,19900,53
48045630,5 Viên Pin Smartkey - Cmos Panasonic CR2032 - Hàng Chính Hãng,71726.0,Thegioipin88,Panasonic,Nhà Cửa - Đời Sống,1070.0,2806,95000,95000,0
99621372,Bình giữ nhiệt Lock&Lock Belt Bottle LHC4267 490ml,1.0,Tiki Trading,LocknLock,Root,593.0,5664,473000,235000,50
54484578,Đèn Bàn Học LED USB Di Động Cao Cấp Có Thể Gập Hai Chỗ – 03 Chế Độ Ánh Sáng Vàng Bảo Vệ Mắt Chống Cận eLights,97355.0,Future Store,eLights,Nhà Cửa - Đời Sống,965.0,6134,199000,189000,5
11488920,Bình Giữ Nhiệt Lock&Lock RigaTumbler (897ml),38510.0,JoyMall LocknLock Chính Hãng,LocknLock,Root,1394.0,1847,715000,399000,44
70656791,giấy ăn gấu trúc Ycool khăn giấy tre 1 thùng 30 gói 300 tờ siêu dai mềm mại,131980.0,Giấy ycool,ycool,Phụ kiện nhà bếp khác,810.0,12778,125000,125000,0
14453485,Combo 10 móc treo đồ dán tường,134133.0,An Vũ Techcom,OEM,"Giá, móc, cây treo",1353.0,15,9000,9000,0
173854188,Ổ cắm xoay gấp gọn Điện Quang ĐQ ESK RT,17490.0,Điện Quang Official Store,Điện Quang,"Ổ cắm, ổn áp, biến áp",273.0,549,35800,25000,30
3480627,Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông Lau,1.0,Tiki Trading,LocknLock,Nhà Cửa - Đời Sống,1616.0,6621,924000,475000,49
58804363,Dụng cụ băm rau củ quả Lock&Lock Quick Chopper,1.0,Tiki Trading,LocknLock,"Dụng cụ xay, giã",887.0,13393,171000,81000,53
197141676,"Bộ ga và Chăn chần bông Ai By Akemi Lovesome, gồm 5 món (King/Queen)",168565.0,Akemi Official Stores,Akemi,"Bộ ga, ra, drap",119.0,6,1290000,1176000,9
141298313,Hạt giống mướp hương Việt Nam siêu thơm - Làm vườn cực dễ cùng anh kỹ sư,42056.0,KoyShop,OEM,Hạt giống,411.0,1911,6000,6000,0
174619828,"Thùng rác treo tủ bếp có nắp đậy 7L - 9L M&L 546 - Sang trọng, thông minh và tiện ích",250596.0,ML Official Store,M&L,"Thùng rác, đồ hốt rác",266.0,452,252000,189000,25
73125530,Hộp cơm thủy tinh kèm muỗng đũa LocknLock LLG991CL 930ml,38510.0,JoyMall LocknLock Chính Hãng,LocknLock,Hộp đựng thực phẩm,775.0,390,362000,199000,45
71890908,Bộ lau nhà xoay 360 độ Sunhouse KS-CL330S,1.0,Tiki Trading,Sunhouse,Dụng cụ lau nhà khác,800.0,1684,412000,259000,37
198417196,Giường Frappuccino PVC_ K(1.8m),203362.0,Jang In,Jang In,Sofa/ salon và phụ kiện,103.0,0,17300000,16089000,7
118858137,Nạo Gọt Rau Củ Quả  Inox 304 Hàng Cao Cấp - Mua 1 Lần Dùng Mãi Mãi,151652.0,Jodily StarHome HP,Jodily StarHome,Dụng cụ Cắt-Gọt-Bào,503.0,1479,70000,70000,0
104681179,Bông lau thay thế cho Cây lau nhà biến tốc MyJae,190794.0,MyJae Flagship Store,MyJae,Khăn,564.0,566,119000,119000,0
53583472,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa)",1.0,Tiki Trading,LocknLock,Nhà Cửa - Đời Sống,981.0,9861,1667000,790000,53
202805930,Bộ Hộp Cơm Giữ Nhiệt Hút Chân Không  Lock&Lock NVY-4 - LHC8052S01,1.0,Tiki Trading,LocknLock,Hộp đựng thực phẩm,70.0,259,1490000,735000,51
198417133,Sofa 3 chỗ Lewis Jang In 1603810001-02,203362.0,Jang In,Jang In,Sofa/ salon và phụ kiện,103.0,0,38500000,32725000,15
99994000,Bình giữ nhiệt có ống hút Lock&Lock Bucket Tumbler with Straw LHC4268,1.0,Tiki Trading,LocknLock,Root,593.0,5447,473000,235000,50
133898113,Giường Pallet / Giường Ngủ Pallet Gỗ Thông Gấp Gọn / Giường Gỗ Thông nhập khẩu Mới 100% ,300697.0,Nội thất Asaka 139 Phổ Quang,OEM,Nội thất phòng ngủ khác,437.0,0,580000,580000,0
107961500,Ly Nhựa 2 Lớp LocknLock Double Wall Cold Cup Cherry Blossom 750ml HAP509,1.0,Tiki Trading,LocknLock,"Ly, cốc & phụ kiện ly",561.0,5071,217000,108000,50
42465518,"Cây thông Noel 1,5m tặng kèm 1 bộ phụ kiên đầy đủ cao cấp",267549.0,SHOPNHIMCUNG,OEM,Trang trí nhà cửa khác,1139.0,5,287000,287000,0
144405717,Xông trầm lớn màu giả cổ phi 120,242795.0,Sản phẩm Công Giáo Tâm Đức,OEM,"Lư trầm, bát hương, bát nhang",401.0,1,3425000,3425000,0
104991715,"Bộ 2 chảo vân đá chống dính Tefal Natura dùng cho bếp ga và hồng ngoại (20cm, 24cm) - Hàng chính hãng",121435.0,Tefal Official Store - Chính hãng,Tefal,Chảo các loại,573.0,3797,929000,499000,46
1657931,Vợt Muỗi Sunhouse SHE-E200 - Vàng,1.0,Tiki Trading,Sunhouse,Nhà Cửa - Đời Sống,1755.0,8816,119000,74000,38
892121,Pin Max 8 + 4 Viên Energizer E91 BP8+4 AA,1242.0,"Vo Hoang Trading Co.,Ltd",Energizer,"Pin tiểu, pin sạc",1863.0,2033,136800,136800,0
84566545,Ổ cắm điện đa năng kết hợp ổ cắm USB Nakagami chất lượng cao công nghệ Nhật Bản - Màu ngẫu nhiên,118406.0,Vạn Tín Store,Nakagami,"Ổ cắm, ổn áp, biến áp",652.0,3805,155000,155000,0
200623571,"Dụng cụ thái thịt đa năng Foodcom, máy chặt thịt gà, thái rau củ quả thông minh tiện dụng tiết kiệm thời gian ",40528.0,FOODCOM,foodcom,Dao các loại,85.0,21,1498000,899000,40
122692850,"Cây chà sàn thông minh cao cấp, chổi chà sàn đa năng 2 trong 1, cọ sàn và gạt nước – Parroti Easy ES02",96639.0,Parroti Store,Parroti,"Bàn chải, dụng cụ thông tắc, cọ rửa",477.0,3841,199000,146700,26
186627908,"Ghế Gác Chân Công Thái Học Ergonomic Footrest, Ghế Kê Chân Ghế Gác Chân Văn Phòng",285488.0,Office Chill,OEM,"Nội thất phòng học, làm việc khác",201.0,1095,280000,189000,33
187636657,"Keo Dán Giày Đa Năng Dán Mọi Loại Giày, Chống Thấm",151652.0,Jodily StarHome HP,Jodily StarHome,Khác,195.0,1472,45000,30000,33
71111080,"Kệ Để Giày Dép Inox 5 Tầng Chính Hãng Amalife, Giá Để Giày Inox 5 Tầng - Chọn Màu",55591.0,miDoctor,Amalife,Kệ & Tủ,747.0,892,169000,125000,26
134242996,Ly Nhựa Có Ống Hút Lock&Lock HAP507YEL,38510.0,JoyMall LocknLock Chính Hãng,LocknLock,Nhà Cửa - Đời Sống,436.0,343,217000,119000,45
119203295,"Combo 5 Khăn Lau Bếp, Lau Kính Siêu Thấm Hút Parroti - Fiber FB02",96639.0,Parroti Store,Parroti,Nhà Cửa - Đời Sống,501.0,2005,89000,48200,46
