p_id,p_review_count,p_rating_average
83412126,2961,4.8
118966833,314,5.0
83412126,2961,4.8
99868980,1812,5.0
53789448,3467,4.8
99868980,1812,5.0
73124602,6405,4.7
54484578,1876,4.6
1657931,1141,4.5
122692850,703,4.8
104991715,1119,4.7
70656791,2151,4.7
71890908,287,4.6
53583472,2314,4.7
169848307,247,4.5
73124602,6405,4.7
141298295,0,0.0
186627908,81,4.7
99621372,1025,4.8
104991715,1119,4.7
173211404,365,4.5
104270135,680,4.8
141298301,6,4.8
892121,278,5.0
3480627,1119,4.6
199753638,0,0.0
52885368,193,5.0
84566545,825,4.8
173211404,365,4.5
118858137,39,4.8
127031393,566,4.8
578967,1101,4.6
3258989,225,4.7
58804363,2601,4.8
99994000,1127,4.8
53789448,3467,4.8
186558014,59,4.8
165404269,225,4.8
127031393,566,4.8
1918591,418,4.5
118590908,6,4.3
11488920,5789,4.8
1399571,1068,4.7
52504270,549,4.7
187636657,89,4.5
118593659,13,5.0
177610565,131,4.5
165256438,326,4.8
195852183,21,5.0
17423771,541,4.8
127058707,237,4.5
2119173,930,4.5
11058658,535,4.8
59500188,115,4.7
197899197,172,5.0
176309206,1,5.0
109654810,191,4.6
115092053,488,4.5
174236741,55,4.8
116726951,266,4.7
141729787,0,0.0
2153235,2801,4.7
126725438,280,4.8
182971940,129,5.0
72904497,296,4.7
109654810,191,4.6
189491905,142,4.8
92521124,198,4.8
176169965,56,4.8
71924330,292,4.6
161390400,5,3.8
90531871,853,4.6
162526068,66,4.8
147384609,11,3.5
107961500,915,5.0
102751617,5,4.0
59387881,312,4.7
127058707,237,4.5
153066085,136,4.8
2119169,1070,4.5
186084768,1,3.0
57867023,2,4.5
26334551,506,4.5
181410158,98,4.5
91273061,782,4.6
122716812,1,5.0
195852182,11,5.0
1024190,1176,4.5
54145105,1170,4.7
165346784,161,4.8
122715950,3,4.7
122911188,389,5.0
192780801,6,5.0
75615959,693,4.8
110001215,13,4.5
199121402,0,0.0
56941523,1754,4.8
10227146,964,4.1
134582052,263,4.8
14453485,18,4.5
122715950,3,4.7
172364241,4,5.0
173151383,165,4.7
48045630,492,4.8
191918107,8,5.0
195192323,0,0.0
138336249,48,4.6
33067171,481,4.6
21441057,681,4.7
14640240,150,4.5
200711551,0,0.0
154298137,13,5.0
52574827,1259,4.7
143841853,266,4.8
192523772,6,5.0
178578300,0,0.0
100867528,26,5.0
65501191,338,4.7
104110135,489,4.8
119030223,177,4.6
892141,218,4.8
77280475,165,4.7
145311310,274,4.7
119195755,581,4.8
10585365,108,4.1
76647941,44,4.7
1303927,2255,4.7
57867024,0,0.0
46202190,8,4.6
57999394,359,4.7
65162494,285,4.7
146262084,598,4.8
153843550,18,4.6
66621525,2426,5.0
24156710,173,4.6
122700651,497,4.7
55900887,973,4.5
701227,458,4.7
112321595,308,4.5
121240362,8,4.6
115532506,206,5.0
173732608,1,5.0
201040328,8,5.0
1398733,431,4.6
71206737,46,4.2
52756206,206,4.8
20575188,13,4.2
185910176,77,4.8
64988886,732,5.0
174619828,67,4.8
197412247,33,5.0
185922606,16,5.0
193152585,27,4.8
32328782,412,4.7
28445641,1648,4.6
141298313,2,4.5
152018784,164,4.8
113224438,217,4.6
104680895,214,4.8
119203295,296,5.0
34818286,6,5.0
70898819,191,4.8
141246639,153,4.7
73550275,335,4.7
196051243,90,4.8
78025846,372,4.7
48510374,303,4.7
161030427,27,4.8
53830678,364,4.6
125728940,18,4.8
192303236,21,4.2
75614459,1803,4.8
108370954,53,4.8
195469953,13,4.8
119309533,431,4.6
74396976,1123,4.8
56880195,1115,4.8
51662145,584,4.2
196201377,4,5.0
59273521,33,4.8
98562149,137,4.6
73638934,285,4.6
106457363,148,4.7
131407951,432,4.5
156165766,26,4.8
78632653,265,4.6
173665649,0,0.0
25107085,211,4.8
58357614,868,4.5
3927949,179,4.8
138772427,94,4.6
163550425,4,5.0
134581992,234,4.8
55365176,222,4.7
183907622,25,5.0
26149459,13,5.0
187616941,89,4.5
25412653,8,5.0
195980111,13,4.7
76834277,269,4.8
171121490,116,4.3
144203236,124,5.0
15605817,487,4.6
128969410,312,4.6
176428092,1,5.0
1453915,1835,4.8
169978766,86,4.6
56555197,53,4.6
55875210,545,4.7
1575707,1276,4.6
112946538,57,4.8
149617968,76,4.8
1400785,395,4.7
187960080,20,4.5
59598451,1,5.0
4526273,32,4.7
50553218,63,4.1
189339895,158,4.5
54485029,423,4.5
120759154,7,4.6
21582013,266,4.6
198564551,77,5.0
48716779,420,4.6
75302285,25,4.8
2236959,443,4.7
138507381,102,4.3
32895306,140,4.8
32072094,237,4.7
51969021,3,4.7
121602582,53,4.3
111511362,26,4.7
70820849,198,5.0
96448166,111,4.6
164231871,273,4.7
116244976,103,5.0
7635008,141,4.8
53497035,47,4.6
27609461,4,5.0
137442930,254,5.0
185756969,44,4.5
119112667,95,5.0
94778000,168,4.7
194125082,11,5.0
74598515,607,4.7
194125008,14,4.8
52238368,403,4.5
76451291,67,4.8
197581462,26,5.0
